Funder,Funder Country,Funder Type,Recipient Name,Recipient URL,Recipient City,Recipient State,Recipient Country,Currency,Amount (original currency),Amount (USD),Paid/Auth,Transaction Type,Duration (Months),FY,Grant Description,Source URL,Publication,Title,Author,Publication Date,Date added,Crisis
11 Bit Studios,Poland,Corporate giving program,Unknown Recipient(s),,,,,PLN,"3,000,000 z?","$690,000",Authorized,Cash,,2022,"11 Bit Studios, a Polish video game developer, has announced a 3m PLN donation to aid Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/11-bit-studios-humanitarian-crisis-ukraine,,,,3/29/2022,3/29/2022,Ukraine
3i Group plc,United Kingdom,Corporate giving program,UNICEF United Kingdom,https://www.unicef.org.uk/,London,,United Kingdom,USD,,"$658,762",Paid,Cash,,2022,Cash donation to UNICEF National Committee United Kingdom,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/28/2022,8/25/2022,Ukraine
3M Foundation,United States,Company-sponsored foundation,GlobalGiving,https://www.globalgiving.org/,Washington,DC,United States,USD,"$376,000","$376,000",Authorized,Employee matching gifts,,2022,"Over 2,508 3Mers have donated more than US $376,000 through GlobalGiving’s Ukraine Crisis Relief Fund Microsite. With the 3M Foundation dollar-for-dollar match, more than US $752,000 will be put toward basic needs for those affected by the invasion of the country – food, shelter and clean water, as well as access to education and mental health resources. ",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/3m-humanitarian-crisis-ukraine,,,,3/24/2022,3/24/2022,Ukraine
3M Foundation,United States,Company-sponsored foundation,Unknown Recipient(s),,,,,USD,"$2,000,000","$2,000,000",Authorized,Pledge,,2022,"3M Foundation made a commitment of at least $2 million to directly support relief efforts, as well as the heartfelt direct donations of housing, money and personal goods 3Mers have sent to colleagues in Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/3m-humanitarian-crisis-ukraine,,,,3/24/2022,3/24/2022,Ukraine
A. O. Smith Foundation,United States,Company-sponsored foundation,American Red Cross,https://www.redcross.org/,Washington,DC,United States,USD,"$100,000","$100,000",Authorized,Cash,,2022,"A. O. Smith Corporation, along with the A. O. Smith Foundation, the company’s charitable arm, made a $100,000 donation to the American Red Cross to help support humanitarian relief efforts in Ukraine.",https://www.ejarn.com/detail.php?id=71933&l_id=,Jarn,"A. O. Smith Foundation Donates $100,000 to American Red Cross for Ukraine Relief Efforts",,3/20/2022,3/22/2022,Ukraine
Aarhus University Research Foundation (AUFF),Denmark,Public charity,Aarhus University,https://international.au.dk/,Aarhus,,Denmark,DKK,"10,000,000 kr.","$1,500,000",Authorized,Cash,,2022,"In response to the Russian invasion of Ukraine, Aarhus University Research Foundation (AUFF) donated 10 million kroner to the Aarhus Institute of Advanced Studies (AIAS) to launch a fellowship programme for researchers affected by the war in Ukraine. 10-15 fellowships will be available through the donation from AUFF. ",https://twitter.com/StudyAarhusUni/status/1502207707138310144,Twitter,,,3/11/2022,3/14/2022,Ukraine
Abbott Fund,United States,Company-sponsored foundation,Multiple Recipients,,,,,USD,"$5,000,000","$5,000,000",Authorized,Cash,,2022,"The Abbott Fund is donating $5 million to humanitarian organizations including International Medical Corps, Americares and Project HOPE to deliver emergency and primary health care services, supplies and basic needs for people in Ukraine and in border countries serving Ukrainian refugees. ",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/abbott-humanitarian-crisis-ukraine,,,,5/4/2022,5/4/2022,Ukraine
AbbVie,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$1,000,000","$1,000,000",Authorized,Cash,,2022,AbbVie is donating a total of $1 million to International Medical Corps and Project Hope for medical care and supplies for Ukraine and Ukrainian refugees. It is also donating essential medicines to the Ukrainian government and disaster relief partners.,https://www.efpia.eu/news-events/the-efpia-view/efpia-news/pharmaceutical-industry-response-to-the-war-in-ukraine/,The EFPIA View,Pharmaceutical industry response to the war in Ukraine,,,3/25/2022,Ukraine
Abel Tesfaye,United States,Individual,World Food Program,https://www.wfp.org/,Rome,,Italy,USD,"$500,000","$500,000",Authorized,Cash,,2022,"Abel Tesfaye, also known as The Weeknd, has committed $1 million to the World Food Programme to support the organization’s efforts against hunger around the world. In addition to an initial $500,000 direct donation, the artist will match up to $500,000 from his upcoming tour. The funds will be used to support Ukrainian refugees and people in other humanitarian crises around the world.","https://www.globalcitizen.org/en/content/ukraine-celebrities-fundraising-donating-refugees/#:~:text=Singer%2Dsongwriter%20and%20Global%20Citizen,%24500%2C000%20from%20his%20upcoming%20tour.",,,,3/9/2022,3/10/2022,Ukraine
Abel Tesfaye,United States,Individual,Unknown Recipient(s),,,,,USD,"$500,000","$500,000",Authorized,Pledge; Matching grants,,2022,"Abel Tesfaye, also known as The Weeknd, has committed $1 million to the World Food Programme to support the organization’s efforts against hunger around the world. In addition to an initial $500,000 direct donation, the artist will match up to $500,000 from his upcoming tour. The funds will be used to support Ukrainian refugees and people in other humanitarian crises around the world.","https://www.globalcitizen.org/en/content/ukraine-celebrities-fundraising-donating-refugees/#:~:text=Singer%2Dsongwriter%20and%20Global%20Citizen,%24500%2C000%20from%20his%20upcoming%20tour.",,,,3/9/2022,3/11/2022,Ukraine
ABP Food Group,Ireland,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 2,000,000","$2,180,000",Authorized,Pledge; Matching grants,,2022,"ABP Food Group announced that it has issued an appeal to farmers asking for funding to help support the work of a number of charities in Ukraine. The company said it will match all donations, up to €2 million.",https://www.agriland.ie/farming-news/abp-establishes-fund-for-ukranian-aid-appeal/,Agriland,ABP establishes fund for Ukrainian aid appeal,Breifne O'Brien,4/6/2022,4/6/2022,Ukraine
Accenture,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$5,000,000 ","$5,000,000",Authorized,Cash,,2022,"To help people in Ukraine and those who are being displaced into Poland, Romania, Slovakia, Hungary and the Czech Republic.",https://www.finanznachrichten.de/nachrichten-2022-03/55441091-united-airlines-raising-funds-towards-ukraine-relief-020.htm,Finanz Nachrichten de,United Airlines Raising Funds Towards Ukraine Relief,AFX News,3/8/2022,3/10/2022,Ukraine
"Accenture, Inc. ",United States,Corporate giving program,Unknown Recipient(s),,,,,USD,"$5,000,000","$5,000,000",Authorized,Pledge,,2022,"Accenture announced it will donate $5 million to nonprofit relief organizations working to help people in Ukraine and those who are being displaced into Poland, Romania, Slovakia, Hungary and the Czech Republic. The company will also match 100% of the donations from its employees.",https://ccc.bc.edu/content/ccc/blog-home/2022/03/companies-respond-to-war-in-ukraine.html,Boston College Center for Corporate Citizenship,HOW COMPANIES ARE RESPONDING TO THE WAR IN UKRAINE: A ROUNDUP,Katherine V. Smith,3/1/2022,3/4/2022,Ukraine
Acne Studios,Sweden,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 100,000","$109,000 ",Authorized,Cash,,2022,"In response to the Russian invasion of Ukraine, Acne Studios donated €100,000 to UNICEF and to the U.N. High Commissioner for Refugees, or UNHCR.",https://www.thecut.com/2022/03/how-fashion-and-beauty-brands-are-responding-to-invasion-of-ukriane.html,The Cut,How the Fashion and Beauty World is Responding to the Invasion of Ukraine,Brooke LaMantia,3/28/2022,4/1/2022,Ukraine
ACRI,Italy,Company-sponsored foundation,Unknown Recipient(s),,,,,EUR,"€ 2,000,000","$2,180,000",Authorized,Pledge,,2022,"In line with the values of peace and solidarity, which have always inspired the activities of foundations of banking origin, the Acri Council unanimously resolved to allocate a contribution of 2 million euros for humanitarian support to the Ukrainians who are leaving the country due to the conflict. The resources will support the activities of some NGOs that have already mobilized for assistance to Ukrainian refugees. ",https://philanthropyforukraine.eu/,,,,3/17/2022,3/17/2022,Ukraine
Acronis Cyber Foundation,Switzerland,Company-sponsored foundation,UNICEF,https://www.unicef.org/,New York,NY,United States,USD,"$250,000","$250,000",Authorized ,Cash,,2022,"Acronis Cyber Foundation has partnered with UNICEF to alleviate the suffering of refugees from Ukraine. They have released funds of up to $250,000 for humanitarian assistance to those in need.",https://acronis.org/2022/03/hope-and-humanity-ivan-ensures-a-future-for-refugees/,,,,,5/13/2022,Ukraine
Action,Netherlands,Corporate giving program,UNICEF Netherlands,https://www.unicef.nl/,The Hague,,Netherlands,USD,,"$1,086,957",Paid,Cash,,2022,Cash donation to UNICEF National Committee Netherlands.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/28/2022,8/25/2022,Ukraine
Adidas AG,Germany,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 1,000,000","$1,090,000",Authorized,Cash,,2022,"Adidas announced a donation of €1 million to refugee and children’s charities including Save the Children, SOS Children’s Villages, Terre des Hommes, and UNO-Flüchtlingshilfe to provide basic goods and support to evacuated families.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/adidas-humanitarian-crisis-ukraine,,,,3/15/2022,3/15/2022,Ukraine
Advantest Corp.,Japan,Corporate giving program,Unknown Recipient(s),,,,,JPY,"¥90,000,000","$729,000",Authorized,Cash,,2022,"Advantest Corp., a Japanese supplier of test and measurement equipment, has announced a humanitarian donation of 90 million yens (about $0.7 million) for Ukraine relief. The Japanese Red Cross Society, the UNICEF, Medecins Sans Frontieres (Japan, the United States, and Germany), the Salvation Army International (the United States) and Aktion Deutschland Hilf e.V. (Germany) were named among recipients of the funds.","https://interfax.com/newsroom/top-stories/78152/#:~:text=VR%20Capital%20President%20and%20Founder,assets%20managed%20through%20pooled%20funds.",Interfax,,,4/13/2022,6/7/2022,Ukraine
"AEON Co., Ltd.",Japan,Corporate giving program,UNICEF Japan,https://www.unicef.or.jp/,Tokyo,,Japan,USD,,"$855,505",Paid,Cash,,2022,Cash donation to UNICEF National Committee Japan from AEON 1% Club Foundation.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/28/2022,8/25/2022,Ukraine
AGCO Agriculture Foundation,United States,Company-sponsored foundation,Land Club,,,,Ukraine,USD,"$50,000","$50,000",Authorized ,Cash,,2022,"The AGCO Agriculture Foundation (AAF), a private foundation whose mission is to prevent and relieve hunger through sustainable agricultural development, announced a $50,000 donation to an initiative called ""BORSCH"" implemented by the Land Club, a non-profit organization in Ukraine. The donation will help ""BORSCH"" contribute to Ukraine's food and nutrition security during this crisis and improve the livelihoods of Ukrainian farming communities affected by the war.",https://www.businesswire.com/news/home/20220427005230/en/AGCO-Agriculture-Foundation-Donates-to-Farmer-Focused-Initiative-BORSCH-in-Ukraine,Business Wire,"AGCO Agriculture Foundation Donates to Farmer-Focused Initiative ""BORSCH"" in Ukraine",,5/5/2022,5/5/2022,Ukraine
AGCO Agriculture Foundation ,United States,Company-sponsored foundation,World Food Program USA (WFP USA),https://www.wfpusa.org/,Washington,DC,United States,USD,"$100,000","$100,000",Authorized,Cash,,2022,"The AGCO Agriculture Foundation (AAF), a private foundation with the mission to prevent and relieve hunger through sustainable agricultural development, announced a $100,000 donation to the World Food Program USA (WFPUSA). The donation will support the United Nations World Food Programme (WFP) emergency relief efforts to provide food assistance for families affected by the conflict inside Ukraine and neighboring countries.",https://www.businesswire.com/news/home/20220307005163/en/AGCO-Agriculture-Foundation-Donates-to-Ukraine-Emergency-Relief,Businesswire,AGCO Agriculture Foundation Donates to Ukraine Emergency Relief,,3/7/2022,3/7/2022,Ukraine
Aid to the Church in Need (ACN International),Germany,Public charity,Unknown Recipient(s),,,,,EUR,"€ 1,300,000","$1,417,000",Authorized,Cash,,2022,"The international foundation Aid to the Church in Need (ACN) has increased its emergency support package to the Catholic Church in Ukraine by 300,000 euros, to help it face the challenges posed by the current war in its territory. On the day the invasion of Ukraine began, ACN announced an emergency support package of €1 million. It has now been increased to 1.3 million.",https://www.exaudi.org/es/acn-aumenta-ayuda-emergencia-ucrania-13-millones-euros/,Exaudi Catholic News,ACN Increases Emergency Aid To Ukraine To 1.3 Million Euros,,3/11/2022,4/15/2022,Ukraine
Air Canada,Canada,Corporate giving program,Unknown Recipient(s),,,,,CAD,"$250,000","$197,500",Authorized,Pledge; Matching grants,,2022,"Air Canada said it will be donating $10 for every booking made on aircanada.com to support Ukraine relief aid, with a total donation of up to $250,000. ",https://www.marketscreener.com/quote/stock/AIR-CANADA-18464295/news/Air-Canada-Expands-Initiatives-to-Support-Ukraine-39831480/,MarketScreener,Air Canada Expands Initiatives to Support Ukraine,,3/22/2022,3/24/2022,Ukraine
Airbnb founders,United States,Individual,Airbnb.org,https://www.airbnb.org/,San Francisco,CA,United States,USD,"$10,000,000","$10,000,000",Authorized,Pledge; Matching grants,,2022,"Airbnb's co-founders - Brian Chesky, Joe Gebbia, Nathan Blecharczyk and his wife Elizabeth - are today committing to match up to $10 million in donations to Airbnb.org through March, in support of the effort to offer housing to refugees fleeing Ukraine.",https://www.hospitalitynet.org/news/4109479.html,Hospitaalitynet,,Press release,3/16/2022,3/21/2022,Ukraine
Akelius Apartments Ltd.,Sweden,Corporate giving program,Sverige för UNHCR,https://sverigeforunhcr.se/,Stockholm,,Sweden,USD,"$52,000,000","$52,000,000",Authorized,Matching grants,,2022,"As part of a matching grant with Sverige för UNHCR, the Akelius Foundation donated USD $52 million to support the emergency response in Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/akelius-apartments-ltd-humanitarian-crisis-ukraine,,,,6/6/2022,6/7/2022,Ukraine
Aldi Group,Germany,Corporate giving program,Unknown Recipient(s),,,,,EUR,"€ 5,000,000","$5,450,000",Authorized,Cash,,2022,Aldi group have committed to a further €5 million for established aid organisations ensuring help reaches those that need it most from the war in Ukraine.,https://www.manchestereveningnews.co.uk/news/uk-news/how-much-ms-asda-aldi-23294471,Manchester Evening News,"How much M&S, ASDA, Aldi, Tesco, Morrisons and Sainsbury's are donating to the Ukraine crisis",Rachel Pugh,3/5/2022,3/7/2022,Ukraine
Aldi Group,Germany,Corporate giving program,UNICEF Germany,https://www.unicef.de/start/,Cologne,,Germany,USD,,"$961,798",Paid,Cash,,2022,Cash donation to UNICEF National Committee Germany.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/28/2022,8/25/2022,Ukraine
Aldwin Callen,Taiwan,Corporate giving program,Multiple Recipients,,,,,USD,"$2,500,000 ","$2,500,000 ",Authorized,Pledge; In-kind gifts,,2022,"Throughout the rest of the year, Aldwin Callen plans to deploy 250 Humanitarian Medical Kits (equivalent to 250,000 treatments valued at $2.5 million) to Ukraine and neighboring refugee communities.",https://www.digitaljournal.com/pr/aldwin-callen-has-raised-10-million-in-charitable-contributions-and-is-currently-launching-a-ukraine-relief-campaign-to-provide-medical-assistance,Digital Journal,Aldwin Callen has Raised $10 Million in Charitable Contributions and is Currently Launching a Ukraine Relief Campaign to Provide Medical Assistance,,4/4/2022,4/5/2022,Ukraine
Alexander M. and Jule L. Maisin Foundation,United States,Public charity,Jewish Community Federation and Endowment Fund,https://jewishfed.org/,San Francisco,CA,United States,USD,"$500,000 ","$500,000",Authorized,Cash,,2022,"The Alexander M. and June L. Maisin Foundation donated $500,000 to the Jewish Community Federation and Endowment Fund to provide emergency relief to Ukrainians staying in Ukraine, and those that are fleeing as refugees.",https://www.ktvu.com/news/sfs-jewish-community-federation-raises-3-2-million-for-ukraine,Fox2 KTVU,SF's Jewish Community Federation raises $3.2 million for Ukraine,Emma Gross,3/22/2022,3/24/2022,Ukraine
Algorand Foundation,Singapore,Corporate giving program,Unknown Recipient(s),,,,,ALGO,"1,000,000 ALGO","$730,000",Authorized,Pledge; Matching grants; Crypto,,2022,"Algorand Foundation is today committing to match all Algo donations to Ukraine Humanitarian relief, up to 1 million Algo.",https://algorand.foundation/news/matching-ukrainian-algo-donations,Algorand website,Algorand Foundation to Match Algo Donations to Ukraine Relief,,3/30/2022,4/14/2022,Ukraine
All Within My Hands,United States,Public charity,World Central Kitchen,https://wck.org/,Washington,DC,United States,USD,"$500,000","$500,000",Authorized,Cash,,2022,"Metallica’s All Within My Hands Foundation has donated $500,000 to help feed Ukrainian refugees. The money is going to the World Central Kitchen, which is providing meals for millions of people who have fled Ukraine as the country continues to come under attack by Russia.",https://consequence.net/2022/04/metallica-foundation-donation-ukraine/,Consequence Heavy,"Metallica’s Foundation Donates $500,000 to Help Feed Ukrainian Refugees",Spencer Kaufman,4/4/2022,4/6/2022,Ukraine
allbranded,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$6,000","$6,000",Authorized,Cash,,2022,"allbranded donated $6,000 to support refugees in Ukraine, but also in Germany, in order to help refugees with immigration. The donations were made to the initiative of the Ukrainischen Hilfsstabs (the North Germany-Ukrainian auxiliary staff), as well as the Feine Ukraine (an association of German-Ukrainian cooperation).","https://whattheythink.com/news/109788-allbranded-donations-ukraine/#:~:text=Together%2C%20the%20team%20of%20allbranded,to%20help%20refugees%20with%20immigration.",WhatTheyThink,allbranded: Donations to Ukraine,Press Release from allbranded,3/16/2022,3/23/2022,Ukraine
Allegany Franciscan Ministries Inc,United States,Public charity,Catholic Relief Services,,Baltimore,MD,United States,USD,"$15,000","$15,000",Paid,Cash,,2022,,Reported to Candid by funder,,,,,7/13/2022,Ukraine
Alliant Insurance,United States,Corporate giving program,Unknown Recipient(s),,,,,USD,"$100,000","$100,000",Authorized,Cash; Employee matching gifts,,2022,"In response to the ongoing situation in Ukraine, Alliant partnered with the American Red Cross and UNICEF to solicit donations. Employees responded, raising more than $110,000 with Alliant providing a $100,000 match. The match program also covered additional organizations providing humanitarian support and vital resources to Ukraine.",https://www.businesswire.com/news/home/20220331005302/en/Alliant-Insurance-Services-Raises-More-than-210000-to-Support-Humanitarian-Efforts-in-Ukraine,Businesswire,"Alliant Insurance Services Raises More than $210,000 to Support Humanitarian Efforts in Ukraine",,3/31/2022,4/6/2022,Ukraine
Allianz SE,Germany,Corporate giving program,German Red Cross,https://www.drk.de/en/,Berlin,,Germany,EUR,"€ 1,000,000","$1,090,000",Authorized,Cash,,2022,"To support humanitarian efforts for Ukraine, Allianz donated €1 million to the German Red Cross who can immediately assist displaced people and those in need.",https://twitter.com/Allianz/status/1498681558374490112,Twitter,,,3/1/2022,3/8/2022,Ukraine
Allianz SE,Germany,Corporate giving program,Unknown Recipient(s),,,,,EUR,"€ 10,000,000","$10,900,000",Authorized,Pledge,,2022,"Allianz is making €10 million available to support humanitarian efforts for Ukraine, with the first €1 million going to the German Red Cross who can immediately assist displaced people and those in need.",https://twitter.com/Allianz/status/1498681558374490112,Twitter,,,3/1/2022,3/8/2022,Ukraine
Allianz SE,Germany,Corporate giving program,Unknown Recipient(s),,,,,EUR,"€ 2,500,000","$2,725,000",Authorized,Employee matching gifts,,2022,Allianz is matching employee donations for Ukraine relief efforts up to €2.5 million.,https://twitter.com/Allianz/status/1498681558374490112,Twitter,,,3/1/2022,3/8/2022,Ukraine
Allianz SE,Germany,Corporate giving program,World Food Program,https://www.wfp.org/,Rome,,Italy,USD,,"$1,116,071",Paid,Cash,,2022,Cash donation to World Food Programme.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/14/2022,8/25/2022,Ukraine
Allstate Insurance Company,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$1,000,000","$1,000,000",Authorized,Pledge,,2022,"In support for victims of the war in Ukraine, Allstate has set up a $1 million Ukranian Relief fund and is matching employee donations.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/allstate-humanitarian-crisis-ukraine,,,,3/11/2022,3/11/2022,Ukraine
Alpha Pharmacy Group,Canada,Corporate giving program,Canadian Red Cross,https://www.redcross.ca/,Ottawa,,Canada,CAD,"$5,000","$3,950",Authorized,Cash,,2022,"The Alpha Group of Pharmacies has donated $5,000 to support immediate humanitarian efforts in the war-torn country. The money was donated to the Canadian Red Cross’s Ukraine Humanitarian Crisis Appeal.",https://vocm.com/2022/03/20/pharmacy-ownership-group-pledges-support-to-ukraine/,vocm.com,Pharmacy Group Pledges Support to Ukraine with Donation,,3/20/2022,3/23/2022,Ukraine
Amazon Web Services,United States,Corporate giving program,Unknown Recipient(s),,,,,USD,"$15,000,000","$15,000,000",Authorized ,Pledge,,2022,"Amazon Web Services (AWS) has committed $15 million in cloud computing credits, and technical expertise, to continue supporting local and global organizations addressing the humanitarian crisis. AWS technologies and experts have been supporting a range of activities, including powering applications that are facilitating the intake of Ukrainian refugees at border crossings, providing technology to help establish safe evacuation routes, setting up emergency internet connectivity, and enabling secure communications.",https://www.aboutamazon.com/news/community/amazon-continues-donating-to-help-ukrainian-refugees,,Amazon continues donating to help Ukrainian refugees,,4/22/2022,7/29/2022,Ukraine
"Amazon.com, Inc.",United States,Corporate giving program,Multiple Recipients,,,,,USD,"$5,000,000","$5,000,000",Authorized,Cash,,2022,"Amazon announced it is donating $5 million to aid organizations on the ground (UNICEF, UNHCR, World Food Program, Red Cross, Polska Akcja Humanitarna, and Save the Children) for Ukrainian humanitarian relief. The company will also match up to $5 million in additional employee donations to the same relief orgs.",https://www.aboutamazon.com/news/community/supporting-humanitarian-efforts-in-ukraine,,,,3/1/2022,3/1/2022,Ukraine
"Amazon.com, Inc.",United States,Corporate giving program,Multiple Recipients,,,,,USD,"$5,000,000","$5,000,000",Authorized,Pledge,,2022,"Amazon announced it is donating $5 million to aid organizations on the ground (UNICEF, UNHCR, World Food Program, Red Cross, Polska Akcja Humanitarna, and Save the Children) for Ukrainian humanitarian relief. The company will also match up to $5 million in additional employee donations to the same relief orgs.",https://www.aboutamazon.com/news/community/supporting-humanitarian-efforts-in-ukraine,,,,3/1/2022,3/1/2022,Ukraine
"Amazon.com, Inc.",United States,Corporate giving program,Unknown Recipient(s),,,,,USD,"$2,000,000","$2,000,000",Authorized ,Pledge,,2022,"Amazon is partnering with Welcome.US, local resettlement agencies, and community organizations to offer Ukrainian families free delivery and a total value of $2 million in donated products to help them resettle in the U.S.",https://www.aboutamazon.com/news/community/amazons-assistance-in-ukraine,,How Amazon is assisting in Ukraine,,7/18/2022,7/29/2022,Ukraine
"Amazon.com, Inc.",United States,Corporate giving program,World Food Program,https://www.wfp.org/,Rome,,Italy,USD,"$135,509","$135,509",Paid,Cash,,2022,Cash donation to World Food Programme from US-based e-commerce retailer.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/14/2022,8/25/2022,Ukraine
"Amazon.com, Inc.",United States,Corporate giving program,World Food Programme,https://www.wfp.org/,Rome,,Italy,USD,"$180,000","$180,000",Paid,In-kind gifts,,2022,Office and storage space donations to the WFP-led Logistics Cluster in Ukraine.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,7/6/2022,9/20/2022,Ukraine
AMD Medicom Inc.,Canada,Corporate giving program,Unknown Recipient(s),,,,,CAD,"$250,000","$197,500",Authorized,In-kind gifts,,2022,"In order to support the humanitarian efforts underway in Ukraine, Medicom will be sending over $250,000 CAD worth of medical products from North America and Europe. In addition, the company is launching a fundraiser among its nearly 2,000 employees and will match every dollar donated. The funds raised will be donated to Doctors Without Borders and used primarily to improve access to health care and medication. ",https://www.prnewswire.com/news-releases/ukraine-medicom-donates-over-250-000-in-medical-products-301493419.html,PR Newswire,"Ukraine: Medicom Donates Over $250,000 in Medical Products",,3/1/2022,3/3/2022,Ukraine
American Chemical Society,United States,Public charity,U.S. National Academy of Sciences,http://www.nasonline.org/,Washington,DC,United States,USD,"$500,000 ","$500,000",Authorized,Cash,,2022,"The American Chemical Society (ACS) has announced a $500,000 contribution to the U.S. National Academy of Sciences in support of an effort to help researchers who are being forced to flee Ukraine. The NAS’ Scientists and Engineers in Exile or Displaced (SEED) program is working to help scientists and engineers relocate and continue their work in Poland and other neighboring countries.",https://philanthropynewsdigest.org/news/foundations-corporations-providing-support-for-ukraine-04-24-2022,PND,"Foundations, corporations providing support for Ukraine",,4/24/2022,4/25/2022,Ukraine
American Dental Association Foundation,United States,Public charity,Ukraine Dental Association,http://udenta.org.ua/,Kyiv,,Ukraine,USD,"$50,000 ","$50,000 ",Authorized,Cash,,2022,"After learning of the Ukraine Dental Association’s need for dental supplies — in particular local anesthetic and sutures — the ADA Foundation approved in May a grant of $50,000.  ",https://www.ada.org/publications/ada-news/2022/june/dental-community-responds-to-refugee-crisis-in-eastern-europe,,Dental community responds to refugee crisis in eastern Europe,David Burger,6/6/2022,6/13/2022,Ukraine
American Express Company,United States,Corporate giving program,International Rescue Committee (IRC),https://www.rescue.org/,New York,NY,United States,USD,"$250,000","$250,000",Authorized,Cash,,2022,"American Express donated $250,000 to International Rescue Committee (IRC) to provide necessary resources where they are needed most in Ukraine, including for those who have fled their homes.",https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis/,,,,3/1/2022,3/4/2022,Ukraine
American Express Company,United States,Corporate giving program,International Medical Corps (IMC),https://internationalmedicalcorps.org/,Los Angeles,CA,United States,USD,"$250,000","$250,000",Authorized,Cash,,2022,"American Express donated $250,000 to International Medical Corps (IMC), which has deployed mobile medical teams in Ukraine to provide essential emergency and primary health services; mental health and psychosocial support services; and COVID-19 awareness and prevention services to help keep affected populations safe from the pandemic.",https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis/,,,,3/1/2022,3/4/2022,Ukraine
American Express Company,United States,Corporate giving program,American Red Cross,https://www.redcross.org/,Washington,DC,United States,USD,"$250,000","$250,000",Authorized,Cash,,2022,"American Express donated $250,000 to American Red Cross to support coordinated relief efforts by the International Federation of Red Cross and Red Crescent Societies (IFRC) and other Red Cross partners who are responding to urgent needs and providing technical assistance on the ground in Ukraine.",https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis/,,,,3/1/2022,3/4/2022,Ukraine
American Express Company,United States,Corporate giving program,UNICEF,https://www.unicef.org/,New York,NY,United States,USD,"$250,000","$250,000",Authorized,Cash,,2022,"American Express donated $250,000 toward UNICEF’s emergency appeal, launched last week, to support children and families as the Ukraine crisis escalates, with life-saving programs, safe water, emergency health, hygiene, and education aid and other immediate help for those in need of support.",https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis/,,,,3/1/2022,3/4/2022,Ukraine
American Land Title Association (ALTA) Good Deeds Foundation,United States,Public Charity,World Central Kitchen,https://wck.org/,Washington,DC,United States,USD,"$10,000","$10,000",Authorized,Cash,,2022,"In response to the humanitarian crisis in Ukraine, the American Land Title Association (ALTA) Good Deeds Foundation, the registered 501(c)(3) charitable organization founded by ALTA, the national trade association of the land title insurance industry, has announced it is awarding a $10,000 emergency grant to the World Central Kitchen (WCK).",https://www.prnewswire.com/news-releases/alta-good-deeds-foundation-provides-emergency-grant-for-ukrainian-relief-301500339.html,PR Newswire,ALTA Good Deeds Foundation Provides Emergency Grant for Ukrainian Relief,,3/10/2022,3/22/2022,Ukraine
American Psychiatric Association Foundation,United States,Public Charity,Languages of Care,http://languagesofcare.org/,Dover,DE,United States,USD,"$20,000","$20,000",Authorized ,Cash,,2022,"The APA Foundation awarded $20,000 to Languages of Care, which has been providing translated mental health resources to refugees and mental health professionals in Ukraine since the start of the war with Russia.",https://psychnews.psychiatryonline.org/doi/10.1176/appi.pn.2022.10.10.9,PSYCHIATRIC NEWS,APA Foundation Grant Supports MH Resource Translations in Ukraine,KATIE O'CONNOR,9/27/2022,10/18/2022,Ukraine
