Funder,Funder Country,Funder Type,Recipient Name,Recipient URL,Recipient City,Recipient State,Recipient Country,Currency,Amount (original currency),Amount (USD),Paid/Auth,Transaction Type,Duration (Months),FY,Grant Description,Source URL,Publication,Title,Author,Publication Date,Date added,Crisis
Breakthrough Prize Foundation,United States,Independent foundation,Unknown Recipient(s),,,,,USD,"$3,000,000","$3,000,000",Authorized,Pledge,,2022,The Breakthrough Prize Foundation pledged to make an emergency donation of $3 million to help the victims of the conflict in Ukraine. The funds will go to an international relief organization.,https://breakthroughprize.org/News/68,,,,3/4/2022,3/4/2022,Ukraine
Breakthrough Prize Foundation,United States,Independent foundation,Unknown Recipient(s),,,,,USD,"$2,000,000","$2,000,000",Authorized,Pledge,,2022,"The Foundation pledged a further $3 million in funding to support physicists, life scientists and mathematicians who have been forced to flee from Ukraine. As part of the pledge, the Foundation will dedicate $1 million to the U.S. National Academy of Sciences' Scientists and Engineers in Exile and Displaced (SEED) initiative, which helps scientists and engineers maintain their livelihoods and dignity during the current upheaval, remaining employed and connected to the global scientific community.",https://breakthroughprize.org/News/70,,,,3/18/2022,3/18/2022,Ukraine
Breakthrough Prize Foundation,United States,Independent foundation,U.S. National Academy of Sciences (NAS),http://www.nasonline.org/,Washington,DC,United States,USD,"$1,000,000","$1,000,000",Authorized,Cash,,2022,"The Foundation pledged a further $3 million in funding to support physicists, life scientists and mathematicians who have been forced to flee from Ukraine. As part of the pledge, the Foundation will dedicate $1 million to the U.S. National Academy of Sciences' Scientists and Engineers in Exile and Displaced (SEED) initiative, which helps scientists and engineers maintain their livelihoods and dignity during the current upheaval, remaining employed and connected to the global scientific community.",https://www.nationalacademies.org/news/2022/03/breakthrough-prize-foundation-partners-with-u-s-national-academy-of-sciences-to-support-scientists-forced-to-flee-ukraine,,,,3/29/2022,3/29/2022,Ukraine
Breakthrough Prize Foundation,United States,Independent foundation,Unknown Recipient(s),,,,,USD,"$100,000,000","$100,000,000",Authorized,Pledge,,2022,"The Breakthrough Prize Foundation, established by Yuri and Julia Milner, announced the launch of the Tech For Refugees Initiative. The new initiative will further efforts to bring humanitarian assistance to refugees around the world. The initial commitment from the Breakthrough Prize Foundation is $100 million, the majority of which will be directed to support civilians fleeing from Ukraine, as a first step toward extending the initiative to other regions. Tech for Refugees, inspired by the Stand With Ukraine GoFundMe campaign launched by Mila Kunis and Ashton Kutcher, will everage the expertise and networks of leading tech firms and organizations to make a difference in the lives of refugees from Ukraine and across the world. Partners include Airbnb.org and Flexport.org. Tech For Refugees aims to both support existing humanitarian programmes, and fund new programs that provide much needed assistance to refugees. ","https://www.prnewswire.com/news-releases/leading-technology-companies-and-yuri--julia-milner-join-forces-to-launch-new-global-initiative-tech-for-refugees-301535320.html#:~:text=Tech%20For%20Refugees%20aims%20to,address%20the%20global%20refugee%20crisis",PR Newswire,"LEADING TECHNOLOGY COMPANIES AND YURI & JULIA MILNER JOIN FORCES TO LAUNCH NEW GLOBAL INITIATIVE ""TECH FOR REFUGEES""",,4/28/2022,4/28/2022,Ukraine
Breakthrough Prize Foundation,United States,Independent foundation,U.S. National Academy of Sciences (NAS),http://www.nasonline.org/,Washington,DC,United States,USD,"$3,000,000","$3,000,000",Authorized ,Cash,,2022,"With a $3 million donation from the Breakthrough Prize Foundation, a high-level, international coordinating group of scientific organizations has been established to take concrete steps to support Ukraine’s scientists and research community with the aim of rebuilding a successful global science and innovation system in Ukraine. The U.S. National Academy of Sciences (NAS) and the Polish Academy of Sciences will act as secretariats for the coordinating group, which initially includes representatives from the National Academy of Sciences of Ukraine, the All European Academies, the German National Academy of Sciences Leopoldina, the Australian Academy of Science, the French Academy of Sciences, the Royal Danish Academy of Sciences and Letters, and the Royal Society of the United Kingdom.",https://www.nationalacademies.org/news/2022/10/scientific-organizations-form-international-group-to-advance-ukrainian-science-and-support-researchers-breakthrough-prize-foundation-provides-3-million,National Academies,cientific Organizations Form International Group to Advance Ukrainian Science and Support Researchers; Breakthrough Prize Foundation Provides $3 Million,,10/24/2022,10/25/2022,Ukraine
Breakthrough Prize Foundation,United States,Independent foundation,Australian Academy of Science,http://www.science.org.au/,Canberra,,Australia,AUD,"$800,000","$584,000",Authorized ,Cash,,2022,"Ukrainian scientists who have fled the war with Russia or who have been unable to work due to the destruction of their workplace are set to receive a helping hand from their Australian counterparts. The assistance will come in the form of an A$800,000 donation from the non-profit Breakthrough Prize Foundation to the Australian Academy of Science. The donation will support initiatives including: the establishment of long-term research collaborations between Ukrainian and Australian scientists, focusing on early-and-mid-career researchers; providing Ukrainian scientists with access to leading Australian science and research infrastructure and facilities such as supercomputing programs, synchrotrons, and telescopes, NCRIS facilities; and the opportunity to send data and samples to Australian research facilities for analysis, with the results returned to Ukrainian research institutes.",https://www.prnewswire.com/news-releases/supporting-ukrainian-scientists-through-a-partnership-with-the-breakthrough-prize-foundation-301685130.html,PR Newswire,Supporting Ukrainian scientists through a partnership with the Breakthrough Prize Foundation,,11/22/2022,11/25/2022,Ukraine
Bristol-Myers Squibb ,United States,Company-sponsored foundation,Multiple Recipients,,,,,USD,"$1,000,000","$1,000,000",Authorized,Cash; Employee matching gifts,,2022,"Bristol Myers Squibb and the Bristol Myers Squibb Foundation are each actively contributing to relief efforts in Ukraine, donating more than $1 million total to date. The Company has provided donations to a number of organizations coordinating relief efforts; this includes activities organized by the World Institute on Disability and the ECO-ASCO special network, working with WHO Europe to pool information to aid the coordination of transfer and care for Ukrainian cancer patients. The Bristol Myers Squibb Foundation has provided donations to organizations, including Americares, Direct Relief, International Rescue Committee, and Save the Children. The Foundation is also matching contributions by our employees globally to organizations providing relief to Ukraine.",https://www.efpia.eu/news-events/the-efpia-view/efpia-news/pharmaceutical-industry-response-to-the-war-in-ukraine/,The EFPIA View,Pharmaceutical industry response to the war in Ukraine,,3/1/2022,3/4/2022,Ukraine
BStrong ,United States,Independent foundation,Unknown Recipient(s),,,,,USD,"$15,000,000","$15,000,000",Authorized,Pledge,,2022,Bstrong made a $15 million commitment for the distribution of aid inside Ukraine. ,https://www.foxnews.com/entertainment/bethenny-frankel-raises-25-million-aid-ukraine,Twitter,,Bethenny Frankel,3/1/2022,3/3/2022,Ukraine
BStrong ,United States,Independent foundation,Unknown Recipient(s),,,,,USD,"$10,000,000","$10,000,000",Authorized,Pledge,,2022,Bstrong has allocated $10 million to date to help relocate refugees fleeing Ukraine.,https://www.foxnews.com/entertainment/bethenny-frankel-raises-25-million-aid-ukraine,Twitter,,Bethenny Frankel,3/1/2022,3/3/2022,Ukraine
Buddhist Tzu Chi Foundation,United States,Public charity,UNICEF,https://www.unicef.org/,New York,NY,United States,USD,"$10,000,000","$10,000,000",Authorized ,Cash,,2022,Buddhist Tzu Chi Foundation is contributing $10 million to UNICEF’s emergency response to support vulnerable children and families impacted by the ongoing war in Ukraine and those who’ve fled to neighbouring countries.,https://www.unicef.org/partnerships/buddhist-tzu-chi-foundation-supports-unicef-10-million-children-affected-ukraine-war,,,,4/25/2022,5/9/2022,Ukraine
